,0
1143,15.580579
1144,9.556788
1145,0.64595675
1146,0.2394061
1147,0.4540292
1148,4.4823856
1149,0.3876566
1150,7.595857
1151,18.978582
1152,1.024725
1153,12.141155
1154,2.8893533
1155,1.8427755
1156,16.920753
1157,5.0325994
1158,4.4502745
1159,20.958982
1160,7.1396914
1161,23.149965
1162,24.631868
1163,2.9496348
1164,24.254375
1165,1.3851374
1166,13.557896
1167,2.40109
1168,1.1497866
1169,1.7910765
1170,2.858182
1171,5.0340323
1172,6.0515404
1173,23.344032
1174,22.793287
1175,13.862558
1176,5.0425763
1177,0.65772116
1178,7.05159
1179,-0.006053686
1180,1.2712919
1181,1.0956792
1182,0.13177781
1183,25.187181
1184,-0.12780505
1185,2.1911685
1186,4.2321815
1187,1.9867163
1188,23.11733
1189,14.764933
1190,3.0770338
1191,3.0071418
1192,10.146814
1193,0.8295224
1194,21.063482
1195,0.006011218
1196,8.674044
1197,2.3703678
1198,22.086565
1199,17.577028
1200,4.9568033
1201,6.7233114
1202,9.988646
1203,8.182748
1204,9.94018
1205,5.451824
1206,1.6341075
1207,4.9692316
1208,13.013553
1209,0.15438896
1210,1.3271599
1211,5.7833242
1212,12.281486
1213,3.6715705
1214,23.383877
1215,3.262739
1216,0.19017735
1217,7.427093
1218,21.223452
1219,16.11148
1220,4.9685326
1221,4.6232777
1222,0.40756908
1223,17.480433
1224,-0.04622206
1225,13.034788
1226,12.766462
1227,1.7851807
1228,1.7858645
1229,1.9622194
1230,23.11041
1231,2.370232
1232,3.2342434
1233,0.37749308
1234,0.7623584
1235,3.705647
1236,1.413309
1237,2.503059
1238,0.22906747
1239,0.35929352
1240,18.525074
1241,13.872351
1242,1.6253067
1243,0.108164355
1244,16.446106
1245,14.382188
1246,2.8421266
1247,3.5311677
1248,0.63289225
1249,0.0023049414
1250,3.8721743
1251,20.322199
1252,6.1684556
1253,11.760072
1254,17.889053
1255,0.56779563
1256,14.538007
1257,23.201057
1258,16.712564
1259,1.6456084
1260,-0.3554267
1261,2.9930103
1262,14.902497
1263,0.93512106
1264,4.758477
1265,23.540512
1266,18.253622
1267,5.509574
1268,2.9146261
1269,1.5027735
1270,-0.03512889
1271,1.3455323
1272,1.7263868
1273,6.8736215
1274,1.9650161
1275,6.9332566
1276,1.1860732
1277,9.620316
1278,4.156854
1279,26.996164
1280,18.47065
1281,1.5909019
1282,1.0413809
1283,5.9173
1284,-0.075472
1285,0.63992226
1286,1.8974068
1287,0.32570127
1288,2.5769393
1289,1.2820418
1290,0.4833304
1291,1.6833572
1292,2.5208268
1293,14.657631
1294,21.030045
1295,5.560367
1296,0.82695603
1297,12.801032
1298,1.4716345
1299,13.574261
1300,15.188398
1301,6.9776344
1302,1.9636118
1303,7.243162
1304,2.4765918
1305,18.47718
1306,7.2271028
1307,17.207718
1308,1.1818618
1309,1.7031035
1310,0.52986753
1311,2.407946
1312,0.59008884
1313,3.4729946
1314,0.19752632
1315,4.8218946
1316,16.048868
1317,6.5890923
1318,14.233457
1319,2.8917496
1320,3.5887377
1321,3.4445684
1322,2.8313873
1323,1.2849741
1324,16.448484
1325,2.8032737
1326,1.0999569
1327,22.026688
1328,21.548548
1329,2.12812
1330,1.4416515
1331,13.726087
1332,-0.045573905
1333,0.7048906
1334,4.7336087
1335,0.98947847
1336,20.949577
1337,1.7886604
1338,0.44843188
1339,1.9496902
1340,18.828905
1341,15.043098
1342,-0.007814541
1343,3.9924104
1344,5.274103
1345,15.524102
1346,0.65976346
1347,1.3686062
1348,2.2288294
1349,4.175439
1350,1.450205
1351,22.603697
1352,0.31491897
1353,-0.4690648
1354,10.898769
1355,0.68165946
1356,1.3512385
1357,10.251395
1358,14.797259
1359,22.864851
1360,3.373188
1361,1.7017035
1362,18.454699
1363,23.469193
1364,12.811026
1365,15.279846
1366,5.9704833
1367,2.886679
1368,7.9772034
1369,13.047805
1370,4.4760246
1371,15.654395
1372,1.3102705
1373,0.81080925
1374,0.44081002
1375,3.048197
1376,18.55677
1377,11.56182
1378,15.912819
1379,1.7603298
1380,3.7110884
1381,1.044354
1382,7.506836
1383,0.87871706
1384,4.2533064
1385,0.5466328
1386,0.38276798
1387,17.407728
1388,17.094032
1389,16.980362
1390,12.034728
1391,16.069397
1392,14.017108
1393,14.496913
1394,2.798994
1395,1.2945609
1396,20.209337
1397,3.6668463
1398,20.728468
1399,15.165809
1400,4.7148995
1401,23.701845
1402,13.164082
1403,2.4729757
1404,22.181837
1405,0.96317947
1406,16.73409
1407,21.178734
1408,1.6934636
1409,1.5460829
1410,1.0487573
1411,3.8821466
1412,1.1375532
1413,1.3272809
1414,1.1850528
1415,1.0298129
1416,12.905422
1417,8.096979
1418,2.007217
1419,-0.07808189
1420,1.3866204
1421,5.4538817
1422,20.468576
1423,0.12760197
1424,9.34176
1425,15.856953
1426,2.576829
1427,1.3394955
1428,2.0684023
1429,9.885526
1430,23.325266
1431,2.7440133
1432,0.7937006
1433,4.309101
1434,2.5482967
1435,0.318713
1436,-0.035981566
1437,7.0683107
1438,23.763348
1439,1.646155
1440,4.4999633
1441,0.06654316
1442,4.2927322
1443,17.549505
1444,20.62944
1445,0.7941184
1446,14.937385
1447,3.9960132
1448,15.66822
1449,-0.03906901
1450,1.0978857
1451,16.935047
1452,3.756133
1453,14.079606
1454,18.976862
1455,5.837952
1456,2.8038237
1457,7.748151
1458,19.017817
1459,0.80556095
1460,0.09900148
1461,-0.0055684447
1462,2.4276602
1463,1.2241367
1464,15.001546
1465,10.400667
1466,3.3075213
1467,2.0087116
1468,5.138564
1469,0.5070648
1470,4.944585
1471,9.969461
1472,21.718538
1473,9.664631
1474,0.31855065
1475,2.2763462
1476,16.528006
1477,1.3626126
1478,7.7739825
1479,5.278813
1480,3.060649
1481,1.0268267
1482,0.6241031
1483,1.4869286
1484,8.261486
1485,0.6890943
1486,1.7578588
1487,9.521288
1488,4.1467113
1489,7.714381
1490,16.243832
1491,3.9746501
1492,1.0642967
1493,9.496561
1494,14.82532
1495,15.62666
1496,5.2113533
1497,2.085481
1498,13.387661
1499,12.953417
1500,1.665825
1501,10.788097
1502,15.98874
1503,1.7002829
1504,14.699763
1505,2.753191
1506,25.073257
1507,1.5304328
1508,15.564674
1509,0.31059545
1510,10.492098
1511,3.8976777
1512,0.4894405
1513,8.404096
1514,17.348034
1515,1.4670568
1516,0.16402689
1517,22.513233
1518,5.839953
1519,2.9600673
1520,0.37574863
1521,1.1183072
1522,14.426701
1523,3.323937
1524,23.960308
1525,0.062325887
1526,0.114320144
1527,4.623541
1528,10.639078
1529,9.709848
1530,19.029758
1531,22.260658
1532,18.613886
1533,0.84346783
1534,1.5745189
1535,2.8348286
1536,6.8344755
1537,0.51685774
1538,1.612094
1539,4.1219707
1540,5.8103685
1541,18.639448
1542,17.028767
1543,12.507617
1544,18.555984
1545,0.21093397
1546,3.0066009
1547,8.027513
1548,0.16245191
1549,2.558731
1550,5.8127465
1551,0.59982157
1552,11.518741
1553,0.9132395
1554,1.5898165
1555,0.55914253
1556,21.708948
1557,14.255049
1558,4.428926
1559,3.7374074
1560,1.0458872
1561,3.385475
1562,1.2991511
1563,3.8857782
1564,0.4155339
1565,9.9417715
1566,0.89824915
1567,5.2708364
1568,0.99613965
1569,1.9244884
1570,0.45058483
1571,6.967018
1572,0.82201254
1573,15.896585
1574,15.574632
1575,2.009051
1576,1.5988849
1577,2.501208
1578,12.47039
1579,0.73463976
